ctgraid,ctgraimgnombre,ctgraimgnombrebucket
"1","leonardocategoria1","categoria_1776462696939.webp"
"2","ACCESORIO PARA AGUA","1776966523476-cemex.png"
"3","ACCESORIO PARA LUZ","1776970434341-cemex.png"
"4","ACCESORIO PARA INODORO","1777043071270-descarga (1).jpg"
"5","FLETE","1777050804397-cemex.png"
"6","LUBRICANTE","1777066404074-Gemini_Generated_Image_sbrtprsbrtprsbrt.png"
"7","ACEITE HUNDAI","1777061155967-cemex.png"
"8","HERRAMIENTAS","1777066428549-categoriamiel.jpg"
"9","MALLAS, MANTADAS Y PLASTICOS","1777041118834-cemex.png"
"10","ACCESORIO PARA RIEGO","null"
"11","ACABADOS","null"
"12","ALAMBRE","null"
"13","SEGURIDAD","null"
"14","ACCESORIO PARA PUERTAS","null"
"15","ALDABA","null"
"16","AMOLADORA","null"
"17","ACCESORIO PARA ALCANTARILLA","null"
"18","","null"
"19","PERNOS Y TUERCAS","null"
"20","AGREGADOS","null"
"21","LIMPIEZA","null"
"22","BALANZA","null"
"23","PLASTICOS","null"
"24","PINTURAS,BASE,BARNIZ,ZINCROMATO","null"
"25","BARRETA","null"
"26","PINTURAS,BASE,BARNIZ,ZINCROMATO,ZINCROMATO","null"
"27","TANQUES","null"
"28","CALZADOS","null"
"29","ACCESORIO PARA TANQUE","null"
"30","ACCESORIO PARA DUCHA","null"
"31","BROCAS","null"
"32","BROCA","null"
"33","CABLE","null"
"34","CONCRETO","null"
"35","ACCESORIOS PARA AGUA","null"
"36","ACCESORIOS PARA DESAGUE","null"
"37","ACCESORIOS PARA LUZ","null"
"38","CUCHILLAS","null"
"39","TABLERO METAL","null"
"40","CAJA","null"
"41","MATERIALES DE CONSTRUCIÓN","null"
"42","CALAMINAS","null"
"43","CALIBRADOR","null"
"44","REPUESTOS","null"
"45","ACCESORIOS PARA TECHO","null"
"46","CANDADO","null"
"47","CAÑOS","null"
"48","LAVAMANOS","null"
"49","CANTONERA","null"
"50","ACCESORIO DE SEGURIDAD","null"
"51","HERRAMIENTAS AGRICOLAS","null"
"52","CEMENTO","null"
"53","CHAPA REMA","null"
"54","ADITIVOS","null"
"55","ADHESIVO-SELLADORES","null"
"56","PEGAMENTOS","null"
"57","CILINDROS","null"
"58","CINCEL","null"
"59","CINTAS","null"
"60","WINCHA","null"
"61","CLAVO","null"
"62","ACCESORIO PARA DESAGUE","null"
"63","ACCESORIO TUBERIA","null"
"64","COMBA","null"
"65","ACCESORIO PARA TV","null"
"66","COSTAL","null"
"67","CURADOR","null"
"68","CUTTER","null"
"69","TRANSPORTE","null"
"70","ADITIVO","null"
"71","DEVOLUCIÓN","null"
"72","DISCOS","null"
"73","ACCESORIOS PARA BAÑO","null"
"74","ACCESORIOS PARA DUCHA","null"
"75","SOLDARURA","null"
"76","SOLDADURA","null"
"77","ENGRASADORA","null"
"78","ESPONJAS","null"
"79","SPRAYS","null"
"80","EXTENSIONES","null"
"81","EXTINTOR","null"
"82","FAJA","null"
"83","FIERRO","null"
"84","FOCOS-LAMAPARAS-PANELES","null"
"85","PEGAMENTO","null"
"86","ACCESORIO PARA BAÑO","null"
"87","ACCESORIO PARA CANALETA","null"
"88","GANCHO","null"
"89","GRAPAS","null"
"90","GRASS SINTETICO","null"
"91","GUANTES","null"
"92","HIDROLAVADORA","null"
"93","INTERRUPTORES","null"
"94","INODOROS","null"
"95","MAYOLICAS, PORCELANATOS, CERAMICOS","null"
"96","DADO MAGNETICO","null"
"97","JUEGOS DE LLAVES","null"
"98","LAVADEROS","null"
"99","ACCESORIO DE LAVADERO","null"
"100","TRIPLAY","null"
"101","LIJAS","null"
"102","LIJADORA","null"
"103","LINTERNAS","null"
"104","ACABADOS INTERIORES PVC","null"
"105","LLAVE HURINARIO","null"
"106","SOUVENIRS","null"
"107","MOCHILAS","null"
"108","MALETAHERRAMIENTA TOTAL","null"
"109","MANGUERAS","null"
"110","MASILLAS","null"
"111","MARTILLO","null"
"112","PERFORADOR","null"
"113","MEDIDOR AGUA","null"
"114","MEDIDOR DIGITAL LUZ","null"
"115","NIVEL DE MANO","null"
"116","NICEL DE MANO","null"
"117","ACCESORIO PARA BAÑOS","null"
"118","PICO","null"
"119","PINTURAS,BASE,BARNIZ,ZINCROMATO}","null"
"120","PISTOLA PINTAR","null"
"121","UTILES OFICINA","null"
"122","PULIDOR","null"
"123","PULVERIZADOR","null"
"124","REFLECTOR","null"
"125","ACCESORIO PARA SUMIDEROS","null"
"126","DADO CONCRETO","null"
"127","SIERRA COLADORA","null"
"128","SILICONAS","null"
"129","PISTOLA AIRE","null"
"130","SOQUETE","null"
"131","SUPRESOR","null"
"132","TACHO DE BASURA","null"
"133","TAPAS AGUA Y DESAGUE","null"
"134","THINER","null"
"135","TIJERA PODAR","null"
"136","TIZA","null"
"137","TOMACORRIENTES","null"
"138","TORNILLO","null"
"139","TRAMPAS","null"
"140","URINARIOS","null"
"141","VALVULAS","null"
"142","VIBRA TOR","null"
"143","WALL PANEL","null"
"144","IMPERMIABILIZANTE","null"
"145","ACELENTANTE","null"
"146","ZAPATOS-BOTAS","null"
"147","Leonardo","categoria_1776462696939.webp"
"148","categoriaLeoanrdo","categoria_1776692658896.webp"
"205","ruben","categoria_1777050893733.webp"
"206","rosa","categoria_1777050943261.webp"
"207","MATERIAL PARA CONSTRUCCION","null"
"211","categoriamiel","categoria_1777064333198.webp"
"249","evsvsdd","categoria_1777395708250.webp"